row_id,verdict,note,timestamp
dd_0003-gen2_059_carolyn_amos-plain,correct,,2026-09-04T15:13:23+00:00
dd_0006-gen2_045_saba_guevara-plain,correct,,2026-09-04T15:13:25+00:00
dd_0007-anon-plain,correct,,2026-09-04T15:13:35+00:00
dd_0033-gen2_038_stanley_bates-plain,correct,,2026-09-04T15:13:37+00:00
dd_0043-gen2_003_maria_buendia-plain,correct,,2026-09-04T15:13:38+00:00
dd_0063-gen2_028_kennedi_terry-plain,correct,,2026-09-04T15:13:41+00:00
dd_0079-gen2_038_stanley_bates-plain,correct,,2026-09-04T15:13:46+00:00
dd_0099-gen2_066_kerri_wilson-plain,correct,,2026-09-04T15:13:47+00:00
dd_0008-uai2_googledeepmind_019_sandi_chapman-plain,correct,,2026-09-04T15:13:49+00:00
dd_0035-uai2_ukaisi_040_brittany_bradford-plain,correct,,2026-09-04T15:13:51+00:00
dd_0049-uai2_eurekalabs_016_jose_bonnet-plain,correct,,2026-09-04T15:13:52+00:00
dd_0057-uai2_northeastern_031_trisha_wheeler-plain,correct,,2026-09-04T15:13:53+00:00
dd_0060-uai2_truthfulai_042_jailyn_claybon-plain,correct,,2026-09-04T15:13:54+00:00
dd_0071-uai2_independent_048_judith_castillo-plain,correct,,2026-09-04T15:13:56+00:00
dd_0075-anon-plain,correct,,2026-09-04T15:13:59+00:00
dd_0086-uai2_anthropic_000_mary_alberti-plain,correct,,2026-09-04T15:14:10+00:00
dd_0019-fai2_gary_marcus-plain,correct,,2026-09-04T15:14:11+00:00
dd_0035-fai2_dylan_hadfieldmenell-plain,correct,,2026-09-04T15:14:12+00:00
dd_0049-fai2_jan_leike-plain,correct,,2026-09-04T15:14:13+00:00
dd_0069-fai2_shane_legg-plain,correct,,2026-09-04T15:14:16+00:00
dd_0071-anon-plain,correct,,2026-09-04T15:14:17+00:00
dd_0074-fai2_sam_bowman-plain,correct,,2026-09-04T15:14:18+00:00
dd_0079-fai2_paul_christiano-plain,correct,,2026-09-04T15:14:20+00:00
dd_0095-fai2_dan_hendrycks-plain,correct,,2026-09-04T15:14:22+00:00
dd_0018-fai2r_ryan_greenblatt-plain,correct,,2026-09-04T15:14:23+00:00
dd_0022-anon-plain,correct,,2026-09-04T15:14:24+00:00
dd_0030-fai2r_richard_ngo-plain,correct,,2026-09-04T15:14:26+00:00
dd_0045-fai2r_anca_dragan-plain,correct,,2026-09-04T15:14:27+00:00
dd_0065-fai2r_owain_evans-plain,correct,,2026-09-04T15:14:28+00:00
dd_0085-fai2r_eliezer_yudkowsky-plain,correct,,2026-09-04T15:14:30+00:00
dd_0087-fai2r_yann_lecun-plain,correct,,2026-09-04T15:14:59+00:00
dd_0092-fai2r_junyang_lin-plain,correct,,2026-09-04T15:15:02+00:00
dd_0007-fam2_014_felipe_carvalho-plain,correct,,2026-09-04T15:15:03+00:00
dd_0035-fam2_044_jeremy_wariner-plain,correct,,2026-09-04T15:15:05+00:00
dd_0037-anon-plain,correct,,2026-09-04T15:15:07+00:00
dd_0038-fam2_056_gilles_simon-plain,correct,,2026-09-04T15:15:08+00:00
dd_0040-fam2_035_brandy_norwood-plain,correct,,2026-09-04T15:15:10+00:00
dd_0049-fam2_031_sean_kingston-plain,correct,,2026-09-04T15:15:11+00:00
dd_0063-fam2_064_david_ferrer-plain,correct,,2026-09-04T15:15:12+00:00
dd_0086-fam2_047_peter_nalitch-plain,correct,,2026-09-04T15:15:13+00:00
